Item,Cat,Type,Tags
{{ModId}}_GreenTeaKombucha,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_kombucha"
{{ModId}}_GreenTeaLemonade,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_lemonade"
{{ModId}}_GreenTeaLiqueur,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_herballiqueur"
{{ModId}}_GreenTomatoJuice,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_vegetablejuice"
{{ModId}}_GreenTomatoPaste,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_vegetablepuree"
{{ModId}}_GreenTomatoSauce,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_sauce"
{{ModId}}_Grenadine,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_cocktailsyrup"
{{ModId}}_GrosMichelBrandy,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_brandy"
{{ModId}}_GrosMichelChips,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_snackfood"
{{ModId}}_GrosMichelCompote,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_compote"
{{ModId}}_GrosMichelJam,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_jam"
{{ModId}}_GrosMichelJelly,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_jelly"
{{ModId}}_GrosMichelJuice,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fruitjuice"
{{ModId}}_GrosMichelLiqueur,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fruitliqueur"
{{ModId}}_GrosMichelPortWine,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fortifiedwine"
{{ModId}}_GrosMichelPuree,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fruitpuree"
{{ModId}}_GrosMichelWine,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_wine"
{{ModId}}_GroundAllium,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerdust"
{{ModId}}_GroundAllspice,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_groundspice"
{{ModId}}_GroundAnise,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_groundspice"
{{ModId}}_GroundBamboo,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_medicinalpowder"
{{ModId}}_GroundBirchBark,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_medicinalpowder"
{{ModId}}_GroundBlackPepper,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_groundspice"
{{ModId}}_GroundBrassicaFlower,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerdust"
{{ModId}}_GroundCarawayFlower,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerdust"
{{ModId}}_GroundCardamom,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_groundspice"
{{ModId}}_GroundCayennePepper,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_groundspice"
{{ModId}}_GroundCelerySeed,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_groundspice"
{{ModId}}_GroundChicory,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_groundherb"
{{ModId}}_GroundChicoryFlower,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerdust"
{{ModId}}_GroundChicoryRoot,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_groundherb"
{{ModId}}_GroundCinnamon,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_groundspice"
{{ModId}}_GroundClove,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_groundspice"
{{ModId}}_GroundClover,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerdust"
{{ModId}}_GroundCoriander,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_groundspice"
{{ModId}}_GroundCorianderFlower,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerdust"
{{ModId}}_GroundCrocus,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerdust"
{{ModId}}_GroundCuminSeed,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_groundspice"
{{ModId}}_GroundDaffodil,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerdust"
{{ModId}}_GroundDandelion,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerdust"
{{ModId}}_GroundDillSeed,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_groundspice"
{{ModId}}_GroundDogwood,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerdust"
{{ModId}}_GroundElderflower,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerdust"
{{ModId}}_GroundEucalyptus,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_medicinalpowder"
{{ModId}}_FairyRosePowder,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerdust"
{{ModId}}_GroundFennel,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_groundspice"
{{ModId}}_GroundFennelFlower,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerdust"
{{ModId}}_GroundFenugreek,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_groundspice"
{{ModId}}_GroundFireWheel,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerdust"
{{ModId}}_GroundForsythia,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerdust"
{{ModId}}_GroundFoxglove,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_toxicflowerdust"
{{ModId}}_GroundGentianFlower,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerdust"
{{ModId}}_GroundGinger,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_groundspice"
{{ModId}}_GroundGinkgo,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_medicinalpowder"
{{ModId}}_GroundGreenPepper,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_groundspice"
{{ModId}}_GroundHawkweed,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerdust"
{{ModId}}_GroundHeliconia,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerdust"
{{ModId}}_GroundHibiscus,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerdust"
{{ModId}}_GroundHolly,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_medicinalpowder"
{{ModId}}_GroundJacaranda,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerdust"
{{ModId}}_GroundJungleMoss,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_mythicherbpowder"
{{ModId}}_GroundJuniper,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_groundspice"
{{ModId}}_GroundLavender,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerdust"
{{ModId}}_GroundMace,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_groundspice"
{{ModId}}_GroundMimosaFlower,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerdust"
{{ModId}}_GroundMintFlower,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerdust"
{{ModId}}_GroundNettleBlossom,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerdust"
{{ModId}}_GroundNutmeg,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_groundspice"
{{ModId}}_GroundOsmanthus,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerdust"
{{ModId}}_GroundPoinciana,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerdust"
{{ModId}}_GroundPoinsettia,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerdust"
{{ModId}}_GroundPoppyFlower,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerdust"
{{ModId}}_GroundPoppySeed,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_groundspice"
{{ModId}}_GroundRedPepper,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_groundspice"
{{ModId}}_GroundSaffron,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_groundspice"
{{ModId}}_GroundSarsaparilla,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_medicinalpowder"
{{ModId}}_GroundSassafras,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_medicinalpowder"
{{ModId}}_GroundSpruce,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_medicinalpowder"
{{ModId}}_GroundSquashFlower,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerdust"
{{ModId}}_GroundSumac,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_groundspice"
{{ModId}}_GroundSummerSpangle,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerdust"
{{ModId}}_GroundSunflower,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerdust"
{{ModId}}_GroundTulip,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerdust"
{{ModId}}_GroundVanilla,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_groundspice"
{{ModId}}_GroundVanillaOrchid,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerdust"
{{ModId}}_GroundViolet,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerdust"
{{ModId}}_GroundWhiteCardamom,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_groundspice"
{{ModId}}_GroundWhitePepper,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_groundspice"
{{ModId}}_GroundWillowBark,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_medicinalpowder"
{{ModId}}_GroundWisteria,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerdust"
{{ModId}}_Gruit,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_beer"
{{ModId}}_Gruyere,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_cheese"
{{ModId}}_Guacamole,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_dip"
{{ModId}}_GuaranaBrandy,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_brandy"
{{ModId}}_GuaranaCompote,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_compote"
{{ModId}}_GuaranaJam,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_jam"
{{ModId}}_GuaranaJelly,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_jelly"
{{ModId}}_GuaranaJuice,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fruitjuice"
{{ModId}}_GuaranaKombucha,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fruitteakombucha"
{{ModId}}_GuaranaLiqueur,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fruitliqueur"
{{ModId}}_GuaranaPortWine,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fortifiedwine"
{{ModId}}_GuaranaPuree,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fruitpuree"
{{ModId}}_GuaranaTea,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fruittea"
{{ModId}}_GuaranaWine,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_wine"
{{ModId}}_GuardianSpirit,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_divinelibation"
{{ModId}}_GuavaBrandy,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_brandy"
{{ModId}}_GuavaCompote,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_compote"
{{ModId}}_GuavaJam,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_jam"
{{ModId}}_GuavaJelly,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_jelly"
{{ModId}}_GuavaJuice,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fruitjuice"
{{ModId}}_GuavaLiqueur,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fruitliqueur"
{{ModId}}_GuavaPortWine,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fortifiedwine"
{{ModId}}_GuavaPuree,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fruitpuree"
{{ModId}}_GuavaWine,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_wine"
{{ModId}}_GullFeather,-18,Basic,"raffadax_object, raffadax_artisan_object, forage_item, category_feather"
{{ModId}}_GultheriaBalsam,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_meadbalsam"
{{ModId}}_GultheriaBrandy,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_floralbrandy"
{{ModId}}_GultheriaFlowerWater,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerwater"
{{ModId}}_GultheriaHoney,-26,Artisan Goods,"honey_item, raffadax_object, raffadax_artisan_object, category_flowhoney"
{{ModId}}_GultheriaHoneyJelly,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_honeyjelly"
{{ModId}}_GultheriaJam,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerjam"
{{ModId}}_GultheriaJelly,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerjelly"
{{ModId}}_GultheriaKombucha,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_floralkombucha"
{{ModId}}_GultheriaLiqueur,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_floralliqueur"
{{ModId}}_GultheriaMead,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_mead"
{{ModId}}_GultheriaNectar,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_nectar"
{{ModId}}_GultheriaPetals,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerpetals"
{{ModId}}_GultheriaPortMead,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fortifiedmead"
{{ModId}}_GultheriaPortWine,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fortifiedfloralwine"
{{ModId}}_GultheriaPowder,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerdust"
{{ModId}}_GultheriaPreserves,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerpreserves"
{{ModId}}_GultheriaPuree,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerpuree"
{{ModId}}_GultheriaTea,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_floraltea"
{{ModId}}_GultheriaWine,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_floralwine"
{{ModId}}_GyokuroKombucha,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_kombucha"
{{ModId}}_GyokuroTea,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_tea"
{{ModId}}_GyokuroTeaLeaf,-81,Greens,"raffadax_object, raffadax_artisan_object, category_tealeaf"
{{ModId}}_Halloumi,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_cheese"
{{ModId}}_HardIceTea,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_maltbeverage"
{{ModId}}_HardLemonade,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_maltbeverage"
{{ModId}}_HardPinkLemonade,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_maltbeverage"
{{ModId}}_Harissa,-7,Cooking,"raffadax_object, raffadax_artisan_object, raffadax_cooked_object, category_spicemix"
{{ModId}}_HarmonicAppleCider,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_mythiccider"
{{ModId}}_HarmonicBrandy,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_arcanebrandy"
{{ModId}}_HarmonicChampagne,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_arcanesparklingwine"
{{ModId}}_HarmonicCider,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_arcanewine"
{{ModId}}_HarmonicCompote,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_mythiccompote"
{{ModId}}_HarmonicFabric,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_arcanecloth"
{{ModId}}_HarmonicHoney,-26,Artisan Goods,"mythic_honey_item, raffadax_object, raffadax_artisan_object, category_mythichoney"
{{ModId}}_HarmonicHoneyJelly,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_mythichoneyjelly"
{{ModId}}_HarmonicJam,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_mythicjam"
{{ModId}}_HarmonicJelly,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_mythicjelly"
{{ModId}}_HarmonicMead,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_mythicmead"
{{ModId}}_HarmonicMidus,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_mythicmeadbalsam"
{{ModId}}_HarmonicNectar,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_mythicnectar"
{{ModId}}_HarmonicPowder,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_arcanedust"
{{ModId}}_HarmonicPuree,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_mythicpuree"
{{ModId}}_HarmonicWine,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_arcanewine"
{{ModId}}_Havarti,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_cheese"
{{ModId}}_HawkFeather,-18,Basic,"raffadax_object, raffadax_artisan_object, forage_item, category_feather"
{{ModId}}_HawkweedBalsam,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_meadbalsam"
{{ModId}}_HawkweedBrandy,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_floralbrandy"
{{ModId}}_HawkweedHoney,-26,Artisan Goods,"honey_item, raffadax_object, raffadax_artisan_object, category_flowhoney"
{{ModId}}_HawkweedHoneyJelly,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_honeyjelly"
{{ModId}}_HawkweedJam,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerjam"
{{ModId}}_HawkweedJelly,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerjelly"
{{ModId}}_HawkweedKombucha,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_floralkombucha"
{{ModId}}_HawkweedLiqueur,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_floralliqueur"
{{ModId}}_HawkweedMead,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_mead"
{{ModId}}_HawkweedNectar,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_nectar"
{{ModId}}_HawkweedPetals,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerpetals"
{{ModId}}_HawkweedPortMead,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fortifiedmead"
{{ModId}}_HawkweedPortWine,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fortifiedfloralwine"
{{ModId}}_HawkweedPreserves,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerpreserves"
{{ModId}}_HawkweedPuree,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerpuree"
{{ModId}}_HawkweedTea,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_floraltea"
{{ModId}}_HawkweedWater,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerwater"
{{ModId}}_HawkweedWine,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_floralwine"
{{ModId}}_HawthornBerryCompote,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_compote"
{{ModId}}_HawthornBerryJuice,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fruitjuice"
{{ModId}}_HawthornBerryPuree,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fruitpuree"
{{ModId}}_HawthornBrandy,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_brandy"
{{ModId}}_HawthornJam,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_jam"
{{ModId}}_HawthornJelly,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_jelly"
{{ModId}}_HawthornLiqueur,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fruitliqueur"
{{ModId}}_HawthornPortWine,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fortifiedwine"
{{ModId}}_HawthornWine,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_wine"
{{ModId}}_HazelnutButter,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_nutbutter"
{{ModId}}_HazelnutExtract,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_nutextract"
{{ModId}}_HazelnutFlour,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flour"
{{ModId}}_HazelnutKombucha,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_nutteakombucha"
{{ModId}}_HazelnutLiqueur,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_nutliqueur"
{{ModId}}_HazelnutMilk,-6,Milk,"raffadax_object, raffadax_artisan_object, category_nondairymilk"
{{ModId}}_HazelnutOil,-26,ArtisanGoods,"oil_item, raffadax_object, raffadax_artisan_object, category_oil"
{{ModId}}_HazelnutTea,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_nuttea"
{{ModId}}_HeartofGaia,-2,Gem,"raffadax_object, raffadax_artisan_object, category_sacredgem"
{{ModId}}_Heartbreaker,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_perfume"
{{ModId}}_Hefeweizen,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_beer"
{{ModId}}_HeliconiaBalsam,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_meadbalsam"
{{ModId}}_HeliconiaBrandy,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_floralbrandy"
{{ModId}}_HeliconiaFlowerPreserves,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerpreserves"
{{ModId}}_HeliconiaFlowerWater,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerwater"
{{ModId}}_HeliconiaHoney,-26,ArtisanGoods,"poison_honey_item, raffadax_object, raffadax_artisan_object, category_flowhoney"
{{ModId}}_HeliconiaHoneyJelly,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_honeyjelly"
{{ModId}}_HeliconiaJam,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerjam"
{{ModId}}_HeliconiaJelly,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerjelly"
{{ModId}}_HeliconiaKombucha,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_floralkombucha"
{{ModId}}_HeliconiaLiqueur,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_floralliqueur"
{{ModId}}_HeliconiaMead,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_mead"
{{ModId}}_HeliconiaNectar,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_nectar"
{{ModId}}_HeliconiaPetals,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerpetals"
{{ModId}}_HeliconiaPortMead,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fortifiedmead"
{{ModId}}_HeliconiaPortWine,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_fortifiedfloralwine"
{{ModId}}_HeliconiaPuree,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerpuree"
{{ModId}}_HeliconiaTea,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_floraltea"
{{ModId}}_HeliconiaWine,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_floralwine"
{{ModId}}_HellhoundFang,-18,Sell at Pierre or Marnie,"raffadax_object, raffadax_artisan_object, forage_item, category_mythicforage"
{{ModId}}_HempFiber,-16,Building Resources,"raffadax_object, raffadax_artisan_object, category_resource"
{{ModId}}_HempPaper,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_resource"
{{ModId}}_HempRope,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_resource"
{{ModId}}_HerbesdeProvence,-7,Cooking,"raffadax_object, raffadax_artisan_object, raffadax_cooked_object, category_spicemix"
{{ModId}}_HerbsdeMajorca,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_herballiqueur"
{{ModId}}_HesperidiumBrandy,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_mythicbrandy"
{{ModId}}_HesperidiumChampagne,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_mythicsparklingwine"
{{ModId}}_HesperidiumCider,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_mythiccider"
{{ModId}}_HesperidiumCompote,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_mythiccompote"
{{ModId}}_HesperidiumJam,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_mythicjam"
{{ModId}}_HesperidiumJelly,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_mythicjelly"
{{ModId}}_HesperidiumJuice,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_mythicfruitjuice"
{{ModId}}_HesperidiumPuree,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_mythicpuree"
{{ModId}}_HesperidiumWine,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_mythicwine"
{{ModId}}_HibiscusBalsam,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_meadbalsam"
{{ModId}}_HibiscusBrandy,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_floralbrandy"
{{ModId}}_HibiscusFlowerPreserves,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerpreserves"
{{ModId}}_HibiscusHoney,-26,Artisan Goods,"honey_item, raffadax_object, raffadax_artisan_object, category_flowhoney"
{{ModId}}_HibiscusHoneyJelly,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_honeyjelly"
{{ModId}}_HibiscusJam,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerjam"
{{ModId}}_HibiscusJelly,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerjelly"
{{ModId}}_HibiscusKombucha,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_floralkombucha"
{{ModId}}_HibiscusLiqueur,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_floralliqueur"
{{ModId}}_HibiscusMead,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_mead"
{{ModId}}_HibiscusNectar,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_nectar"
{{ModId}}_HibiscusPetals,-26,ArtisanGoods,"raffadax_object, raffadax_artisan_object, category_flowerpetals"
