Output,Machine,Time,Makes,Chance,Input,Fuels
Sparkling Nigella Mead,Fermentation Tank,6000,1,1,1 Nigella Mead,1 Yeast
Sparkling Opuntia Mead,Fermentation Tank,6000,1,1,1 Opuntia Mead,1 Yeast
Sparkling Osmanthus Mead,Fermentation Tank,6000,1,1,1 Osmanthus Mead,1 Yeast
Sparkling Pine Mead,Fermentation Tank,6000,1,1,1 Pine Mead,1 Yeast
Sparkling Rooibos Mead,Fermentation Tank,6000,1,1,1 Rooibos Mead,1 Yeast
Sparkling Rose Mead,Fermentation Tank,6000,1,1,1 Rose Mead,1 Yeast
Sparkling Rosemary Mead,Fermentation Tank,6000,1,1,1 Rosemary Mead,1 Yeast
Sparkling Sakura Mead,Fermentation Tank,6000,1,1,1 Sakura Mead,1 Yeast
Sparkling Squash Flower Mead,Fermentation Tank,6000,1,1,1 Squash Flower Mead,1 Yeast
Sparkling Jasmine Mead,Fermentation Tank,6000,1,1,1 Jasmine Mead,1 Yeast
Sparkling Topinambur Mead,Fermentation Tank,6000,1,1,1 Topinambur Mead,1 Yeast
Sparkling Vanilla Orchid Mead,Fermentation Tank,6000,1,1,1 Vanilla Orchid Mead,1 Yeast
Sparkling Violet Mead,Fermentation Tank,6000,1,1,1 Violet Mead,1 Yeast
Sparkling Waldmeister Mead,Fermentation Tank,6000,1,1,1 Waldmeister Mead,1 Yeast
Sparkling Witch Hazel Mead,Fermentation Tank,6000,1,1,1 Witch Hazel Mead,1 Yeast
Sparkling Yarrow Mead,Fermentation Tank,6000,1,1,1 Yarrow Mead,1 Yeast
Sparkling Artemisia Mead,Fermentation Tank,6000,1,1,1 Artemisia Mead,1 Yeast
Sparkling Clematis Mead,Fermentation Tank,6000,1,1,1 Clematis Mead,1 Yeast
Sparkling Dogwood Mead,Fermentation Tank,6000,1,1,1 Dogwood Mead,1 Yeast
Sparkling Foxglove Mead,Fermentation Tank,6000,1,1,1 Foxglove Mead,1 Yeast
Sparkling Heliconia Mead,Fermentation Tank,6000,1,1,1 Heliconia Mead,1 Yeast
Sparkling Indigo Mead,Fermentation Tank,6000,1,1,1 Indigo Mead,1 Yeast
Sparkling Jacaranda Mead,Fermentation Tank,6000,1,1,1 Jacaranda Mead,1 Yeast
Sparkling Passion Flower Mead,Fermentation Tank,6000,1,1,1 Passion Flower Mead,1 Yeast
Sparkling Periwinkle Mead,Fermentation Tank,6000,1,1,1 Periwinkle Mead,1 Yeast
Sparkling Poinsettia Mead,Fermentation Tank,6000,1,1,1 Poinsettia Mead,1 Yeast
Sparkling Poinciana Mead,Fermentation Tank,6000,1,1,1 Royal Poinciana Mead,1 Yeast
Sparkling Wisteria Mead,Fermentation Tank,6000,1,1,1 Wisteria Mead,1 Yeast
Sparkling Wolfsbane Mead,Fermentation Tank,6000,1,1,1 Wolfsbane Mead,1 Yeast
Sparkling Catastrophe Mead,Fermentation Tank,7500,1,1,1 Mead of Strife,1 Yeast
Sparkling Harmonic Mead,Fermentation Tank,7500,1,1,1 Harmonic Mead,1 Yeast
Sparkling Bifrost Mead,Fermentation Tank,7500,1,1,1 Bifrost Mead,1 Yeast
Sparkling Cintamani Mead,Fermentation Tank,7500,1,1,1 Cintamani Mead,1 Yeast
Sparkling Rainforest Mead,Fermentation Tank,7500,1,1,1 Rainforest Mead,1 Yeast
Sparkling Fire Mead,Fermentation Tank,7500,1,1,1 Fire Mead,1 Yeast
Sparkling Fern Flower Mead,Fermentation Tank,7500,1,1,1 Fern Flower Mead,1 Yeast
Sparkling Infernal Mead,Fermentation Tank,7500,1,1,1 Infernal Mead,1 Yeast
Sparkling Dryad Mead,Fermentation Tank,7500,1,1,1 Dryad Mead,1 Yeast
Sparkling Mandrake Mead,Fermentation Tank,7500,1,1,1 Mandrake Mead,1 Yeast
Sparkling Moonlight Mead,Fermentation Tank,7500,1,1,1 Moonlight Mead,1 Yeast
Sparkling Polar Mead,Fermentation Tank,7500,1,1,1 Ismjød,1 Yeast
Sparkling Forest Rose Mead,Fermentation Tank,7500,1,1,1 Forest Rose Mead,1 Yeast
Sparkling Summer Starlight Mead,Fermentation Tank,7500,1,1,1 Summer Starlight Mead,1 Yeast
Sparkling Sunlight Mead,Fermentation Tank,7500,1,1,1 Sunlight Mead,1 Yeast
Sparkling Maenad Mead,Fermentation Tank,7500,1,1,1 Maenad Mead,1 Yeast
Sparkling Winter Starlight Mead,Fermentation Tank,7500,1,1,1 Winter Starlight Mead,1 Yeast
Sparkling Yateveo Mead,Fermentation Tank,7500,1,1,1 Yateveo Mead,1 Yeast
Sparkling Corpse Flower Mead,Fermentation Tank,7500,1,1,1 Corpse Flower Mead,1 Yeast
Sparkling Blue Jazz Mead,Fermentation Tank,6000,1,1,1 Blue Jazz Mead,1 Yeast
Sparkling Crocus Mead,Fermentation Tank,6000,1,1,1 Crocus Mead,1 Yeast
Sparkling Daffodil Mead,Fermentation Tank,6000,1,1,1 Daffodil Mead,1 Yeast
Sparkling Dandelion Mead,Fermentation Tank,6000,1,1,1 Dandelion Mead,1 Yeast
Sparkling Fairy Rose Mead,Fermentation Tank,6000,1,1,1 Fairy Rose Mead,1 Yeast
Sparkling Mead,Fermentation Tank,6000,1,1,1 Mead,1 Yeast
Sparkling Poppy Mead,Fermentation Tank,6000,1,1,1 Poppy Flower Mead,1 Yeast
Sparkling Spangle Mead,Fermentation Tank,6000,1,1,1 Summer Spangle Mead,1 Yeast
Sparkling Sunflower Mead,Fermentation Tank,6000,1,1,1 Sunflower Mead,1 Yeast
Sparkling Sweet Pea Mead,Fermentation Tank,6000,1,1,1 Sweet Pea Mead,1 Yeast
Sparkling Tulip Mead,Fermentation Tank,6000,1,1,1 Tulip Mead,1 Yeast
Sparkling Ancient Fruit Mead,Fermentation Tank,7500,1,1,1 Ancient Mead,1 Yeast
Sparkling Stardrop Mead,Fermentation Tank,7500,1,1,1 Stardrop Mead,1 Yeast
Sparkling Sweet Gem Mead,Fermentation Tank,7500,1,1,1 Sweet Gem Mead,1 Yeast
Coffee Kombucha,Fermentation Tank,2160,1,1,1 Coffee,1 SCOBY
Cold Brew Kombucha,Fermentation Tank,2160,1,1,1 Cold Brew Coffee,1 SCOBY
Coffee Kombucha,Fermentation Tank,2160,1,1,1 Dark Roast Coffee,1 SCOBY
Coffee Kombucha,Fermentation Tank,2160,1,1,1 Light Roast Coffee,1 SCOBY
Coffee Kombucha,Fermentation Tank,2160,1,1,1 Medium Roast Coffee,1 SCOBY
Butterscotch Kombucha,Fermentation Tank,2160,1,1,1 Hot Butterscotch,1 SCOBY
Dark Chocolate Kombucha,Fermentation Tank,2160,1,1,1 Dark Cocoa,1 SCOBY
Chocolate Kombucha,Fermentation Tank,2160,1,1,1 Hot Cocoa ,1 SCOBY
Vanilla Kombucha,Fermentation Tank,2160,1,1,1 Hot Vanilla,1 SCOBY
White Chocolate Kombucha,Fermentation Tank,2160,1,1,1 White Cocoa,1 SCOBY
Black Tea Kombucha,Fermentation Tank,2160,1,1,1 Black Tea,1 SCOBY
Genmaicha Kombucha,Fermentation Tank,2160,1,1,1 Genmaicha Tea,1 SCOBY
Green Tea Kombucha,Fermentation Tank,2160,1,1,1 Green Tea,1 SCOBY
Gyokuro Kombucha,Fermentation Tank,2160,1,1,1 Gyokuro Tea,1 SCOBY
Hojicha Kombucha,Fermentation Tank,2160,1,1,1 Hojicha Tea,1 SCOBY
Ice Tea Kombucha,Fermentation Tank,2160,1,1,1 Ice Tea,1 SCOBY
Kukicha Kombucha,Fermentation Tank,2160,1,1,1 Kukicha Tea,1 SCOBY
Matcha Kombucha,Fermentation Tank,2160,1,1,1 Matcha Tea,1 SCOBY
Oolong Kombucha,Fermentation Tank,2160,1,1,1 Oolong Tea,1 SCOBY
Pu'erh Kombucha,Fermentation Tank,2160,1,1,1 Pu'erh Tea,1 SCOBY
Sencha Kombucha,Fermentation Tank,2160,1,1,1 Sencha Green Tea,1 SCOBY
White Tea Kombucha,Fermentation Tank,2160,1,1,1 White Tea,1 SCOBY
Yellow Tea Kombucha,Fermentation Tank,2160,1,1,1 Yellow Tea,1 SCOBY
Astral Kombucha,Fermentation Tank,2160,1,1,1 Astral Tea,1 SCOBY
Calami Tea Kombucha,Fermentation Tank,2160,1,1,1 Calami Tea,1 SCOBY
Lucky Kombucha,Fermentation Tank,2160,1,1,1 Celtic Breakfast Tea,1 SCOBY
Chai Tea Kombucha,Fermentation Tank,2160,1,1,1 Chai Tea,1 SCOBY
Cinnabar Kombucha,Fermentation Tank,2160,1,1,1 Cinnabar Tea,1 SCOBY
Earl Grey Kombucha,Fermentation Tank,2160,1,1,1 Earl Grey Tea,1 SCOBY
Felici Tea Kombucha,Fermentation Tank,2160,1,1,1 Felici Tea,1 SCOBY
Serendipit Tea Kombucha,Fermentation Tank,2160,1,1,1 Serendipit Tea,1 SCOBY
Boba Kombucha,Fermentation Tank,2160,1,1,1 Boba Tea,1 SCOBY
Red Tea Kombucha,Fermentation Tank,2160,1,1,1 Red Tea,1 SCOBY
Rooibos Kombucha,Fermentation Tank,2160,1,1,1 Rooibos Tea,1 SCOBY
Sakurayu Kombucha,Fermentation Tank,2160,1,1,1 Sakurayu,1 SCOBY
Allium Kombucha,Fermentation Tank,2160,1,1,1 Allium Tea,1 SCOBY
Blue Lotus Kombucha,Fermentation Tank,2160,1,1,1 Blue Lotus Tea,1 SCOBY
Brassica Flower Kombucha,Fermentation Tank,2160,1,1,1 Brassica Flower Tea,1 SCOBY
Cactus Blossom Kombucha,Fermentation Tank,2160,1,1,1 Cactus Blossom Tea,1 SCOBY
Caraway Flower Kombucha,Fermentation Tank,2160,1,1,1 Caraway Flower Tea,1 SCOBY
Chamomile Kombucha,Fermentation Tank,2160,1,1,1 Chamomile Tea,1 SCOBY
Chicory Flower Kombucha,Fermentation Tank,2160,1,1,1 Chicory Flower Tea,1 SCOBY
Clover Kombucha,Fermentation Tank,2160,1,1,1 Clover Tea,1 SCOBY
Coriander Flower Kombucha,Fermentation Tank,2160,1,1,1 Coriander Flower Tea,1 SCOBY
Daisy Kombucha,Fermentation Tank,2160,1,1,1 Daisy Tea,1 SCOBY
Elderflower Kombucha,Fermentation Tank,2160,1,1,1 Elderflower Tea,1 SCOBY
Fennel Flower Kombucha,Fermentation Tank,2160,1,1,1 Fennel Flower Tea,1 SCOBY
Fire Wheel Kombucha,Fermentation Tank,2160,1,1,1 Fire Wheel Tea,1 SCOBY
Flinders Kombucha,Fermentation Tank,2160,1,1,1 Flinders Tea,1 SCOBY
Forsythia Kombucha,Fermentation Tank,2160,1,1,1 Forsythia Tea,1 SCOBY
Gentian Flower Kombucha,Fermentation Tank,2160,1,1,1 Gentian Flower Tea,1 SCOBY
Gultheria Kombucha,Fermentation Tank,2160,1,1,1 Gultheria Tea,1 SCOBY
Hawkweed Kombucha,Fermentation Tank,2160,1,1,1 Hawkweed Tea,1 SCOBY
Hibiscus Kombucha,Fermentation Tank,2160,1,1,1 Hibiscus Tea,1 SCOBY
Honeysuckle Kombucha,Fermentation Tank,2160,1,1,1 Honeysuckle Tea,1 SCOBY
Lavender Kombucha,Fermentation Tank,2160,1,1,1 Lavender Tea,1 SCOBY
Lilac Kombucha,Fermentation Tank,2160,1,1,1 Lilac Tea,1 SCOBY
Linden Kombucha,Fermentation Tank,2160,1,1,1 Linden Tea,1 SCOBY
Mimosa Kombucha,Fermentation Tank,2160,1,1,1 Mimosa Flower Tea,1 SCOBY
Mint Flower Kombucha,Fermentation Tank,2160,1,1,1 Mint Flower Tea,1 SCOBY
Nettle Blossom Kombucha,Fermentation Tank,2160,1,1,1 Nettle Blossom Tea,1 SCOBY
Nigella Kombucha,Fermentation Tank,2160,1,1,1 Nigella Tea,1 SCOBY
Opuntia Kombucha,Fermentation Tank,2160,1,1,1 Opuntia Tea,1 SCOBY
Osmanthus Kombucha,Fermentation Tank,2160,1,1,1 Osmanthus Tea,1 SCOBY
Passion Flower Kombucha,Fermentation Tank,2160,1,1,1 Passion Flower Tea,1 SCOBY
Rose Kombucha,Fermentation Tank,2160,1,1,1 Rose Tea,1 SCOBY
Sakura Kombucha,Fermentation Tank,2160,1,1,1 Sakura Tea,1 SCOBY
Squash Flower Kombucha,Fermentation Tank,2160,1,1,1 Squash Flower Tea,1 SCOBY
Jasmine Kombucha,Fermentation Tank,2160,1,1,1 Jasmine Tea,1 SCOBY
Topinambur Kombucha,Fermentation Tank,2160,1,1,1 Topinambur Tea,1 SCOBY
Vanilla Orchid Kombucha,Fermentation Tank,2160,1,1,1 Vanilla Orchid Tea,1 SCOBY
Violet Kombucha,Fermentation Tank,2160,1,1,1 Violet Tea,1 SCOBY
Waldmeister Kombucha,Fermentation Tank,2160,1,1,1 Waldmeister Tea,1 SCOBY
Witch Hazel Kombucha,Fermentation Tank,2160,1,1,1 Witch Hazel Tea,1 SCOBY
Yarrow Flower Kombucha,Fermentation Tank,2160,1,1,1 Yarrow Flower Tea,1 SCOBY
Artemisia Kombucha,Fermentation Tank,2160,1,1,1 Artemisia Tea,1 SCOBY
Clematis Kombucha,Fermentation Tank,2160,1,1,1 Clematis Tea,1 SCOBY
Dogwood Kombucha,Fermentation Tank,2160,1,1,1 Dogwood Tea,1 SCOBY
Foxglove Kombucha,Fermentation Tank,2160,1,1,1 Foxglove Tea,1 SCOBY
Heliconia Kombucha,Fermentation Tank,2160,1,1,1 Heliconia Tea,1 SCOBY
Indigo Kombucha,Fermentation Tank,2160,1,1,1 Indigo Tea,1 SCOBY
Jacaranda Kombucha,Fermentation Tank,2160,1,1,1 Jacaranda Tea,1 SCOBY
Periwinkle Kombucha,Fermentation Tank,2160,1,1,1 Periwinkle Tea,1 SCOBY
Poinsettia Kombucha,Fermentation Tank,2160,1,1,1 Poinsettia Tea,1 SCOBY
Royal Poinciana Kombucha,Fermentation Tank,2160,1,1,1 Royal Poinciana Tea,1 SCOBY
Wisteria Kombucha,Fermentation Tank,2160,1,1,1 Wisteria Tea,1 SCOBY
Wolfsbane Kombucha,Fermentation Tank,2160,1,1,1 Wolfsbane Tea,1 SCOBY
Bifrost Kombucha,Fermentation Tank,4320,1,1,1 Bifrost Tea,1 SCOBY
Cintamani Kombucha,Fermentation Tank,4320,1,1,1 Cintamani Tea,1 SCOBY
Fern Flower Kombucha,Fermentation Tank,4320,1,1,1 Fern Flower Tea,1 SCOBY
Mandragora Flower Kombucha,Fermentation Tank,4320,1,1,1 Mandragora Tea,1 SCOBY
Forest Rose Kombucha,Fermentation Tank,4320,1,1,1 Forest Rose Tea,1 SCOBY
Blue Jazz Kombucha,Fermentation Tank,2160,1,1,1 Blue Jazz Tea,1 SCOBY
Crocus Kombucha,Fermentation Tank,2160,1,1,1 Crocus Tea,1 SCOBY
Daffodil Kombucha,Fermentation Tank,2160,1,1,1 Daffodil Tea,1 SCOBY
Dandelion Kombucha,Fermentation Tank,2160,1,1,1 Dandelion Tea,1 SCOBY
Fairy Rose Kombucha,Fermentation Tank,2160,1,1,1 Fairy Rose Tea,1 SCOBY
Poppy Flower Kombucha,Fermentation Tank,2160,1,1,1 Poppy Flower Tea,1 SCOBY
Summer Spangle Kombucha,Fermentation Tank,2160,1,1,1 Summer Spangle Tea,1 SCOBY
Sunflower Kombucha,Fermentation Tank,2160,1,1,1 Sunflower Tea,1 SCOBY
Sweet Pea Kombucha,Fermentation Tank,2160,1,1,1 Sweet Pea Tea,1 SCOBY
Tulip Kombucha,Fermentation Tank,2160,1,1,1 Tulip Tea,1 SCOBY
Basil Kombucha,Fermentation Tank,2160,1,1,1 Basil Tea,1 SCOBY
Bay Leaf Kombucha,Fermentation Tank,2160,1,1,1 Bay Leaf Tea,1 SCOBY
Chervil Kombucha,Fermentation Tank,2160,1,1,1 Chervil Tea,1 SCOBY
Chicory Root Kombucha,Fermentation Tank,2160,1,1,1 Chicory Root Tea,1 SCOBY
Cilantro Kombucha,Fermentation Tank,2160,1,1,1 Cilantro Tea,1 SCOBY
Curry Leaf Kombucha,Fermentation Tank,2160,1,1,1 Curry Leaf Tea,1 SCOBY
Dill Kombucha,Fermentation Tank,2160,1,1,1 Dill Tea,1 SCOBY
Fenugreek Kombucha,Fermentation Tank,2160,1,1,1 Fenugreek Tea,1 SCOBY
Gentian Kombucha,Fermentation Tank,2160,1,1,1 Gentian Tea,1 SCOBY
Lemongrass Kombucha,Fermentation Tank,2160,1,1,1 Lemongrass Tea,1 SCOBY
Marjoram Kombucha,Fermentation Tank,2160,1,1,1 Marjoram Tea,1 SCOBY
Oregano Kombucha,Fermentation Tank,2160,1,1,1 Oregano Tea,1 SCOBY
Parsley Kombucha,Fermentation Tank,2160,1,1,1 Parsley Tea,1 SCOBY
Peppermint Kombucha,Fermentation Tank,2160,1,1,1 Peppermint Tea,1 SCOBY
Rosemary Kombucha,Fermentation Tank,2160,1,1,1 Rosemary Tea,1 SCOBY
Sage Kombucha,Fermentation Tank,2160,1,1,1 Sage Tea,1 SCOBY
Savory Kombucha,Fermentation Tank,2160,1,1,1 Savory Tea,1 SCOBY
Shiso Kombucha,Fermentation Tank,2160,1,1,1 Shiso Tea,1 SCOBY
Spearmint Kombucha,Fermentation Tank,2160,1,1,1 Spearmint Tea,1 SCOBY
Tarragon Kombucha,Fermentation Tank,2160,1,1,1 Tarragon Tea,1 SCOBY
Thyme Kombucha,Fermentation Tank,2160,1,1,1 Thyme Tea,1 SCOBY
Wintergreen Kombucha,Fermentation Tank,2160,1,1,1 Wintergreen Tea,1 SCOBY
Woodruff Kombucha,Fermentation Tank,2160,1,1,1 Woodruff Tea,1 SCOBY
Yarrow Kombucha,Fermentation Tank,2160,1,1,1 Yarrow Tea,1 SCOBY
Mandrake Kombucha,Fermentation Tank,4320,1,1,1 Mandrake Tea,1 SCOBY
Jungle Kombucha,Fermentation Tank,4320,1,1,1 Jungle Potion,1 SCOBY
Deep Jungle Kombucha,Fermentation Tank,4320,1,1,1 Jungle Elixir,1 SCOBY
Rainforest Kombucha,Fermentation Tank,4320,1,1,1 Rainforest Tea,1 SCOBY
Agave Kombucha,Fermentation Tank,2160,1,1,1 Agave Tea,1 SCOBY
Aloe Kombucha,Fermentation Tank,2160,1,1,1 Aloe Tea,1 SCOBY
Angostura Kombucha,Fermentation Tank,2160,1,1,1 Angostura Tea,1 SCOBY
Bamboo Kombucha,Fermentation Tank,2160,1,1,1 Bamboo Tea,1 SCOBY
Baobab Kombucha,Fermentation Tank,2160,1,1,1 Baobab Tea,1 SCOBY
Birch Bark Kombucha,Fermentation Tank,2160,1,1,1 Birch Bark Tea,1 SCOBY
Cannabis Kombucha,Fermentation Tank,2160,1,1,1 Cannabis Tea,1 SCOBY
Chandan Kombucha,Fermentation Tank,2160,1,1,1 Chandan Tea,1 SCOBY
Cinchona Kombucha,Fermentation Tank,2160,1,1,1 Cinchona Tea,1 SCOBY
Dandelion Root Kombucha,Fermentation Tank,2160,1,1,1 Dandelion Coffee,1 SCOBY
Ebony Kombucha,Fermentation Tank,2160,1,1,1 Ebony Tea,1 SCOBY
Ginkgo Kombucha,Fermentation Tank,2160,1,1,1 Ginkgo Tea,1 SCOBY
Grape Leaf Kombucha,Fermentation Tank,2160,1,1,1 Grape Leaf Tea,1 SCOBY
Liverwort Kombucha,Fermentation Tank,2160,1,1,1 Liverwort Tea,1 SCOBY
Lotus Root Kombucha,Fermentation Tank,2160,1,1,1 Lotus Root Tea,1 SCOBY
Mugwort Kombucha,Fermentation Tank,2160,1,1,1 Mugwort Tea,1 SCOBY
Peyote Kombucha,Fermentation Tank,2160,1,1,1 Peyote Tea,1 SCOBY
Eucalyptus Kombucha,Fermentation Tank,2160,1,1,1 Eucalyptus Tea,1 SCOBY
Red Algae Kombucha,Fermentation Tank,2160,1,1,1 Red Algae Tea,1 SCOBY
Sarsaparilla Kombucha,Fermentation Tank,2160,1,1,1 Sarsaparilla Tea,1 SCOBY
Sassafras Kombucha,Fermentation Tank,2160,1,1,1 Sassafras Tea,1 SCOBY
Spruce Kombucha,Fermentation Tank,2160,1,1,1 Spruce Tea,1 SCOBY
Willow Kombucha,Fermentation Tank,2160,1,1,1 Willow Tea,1 SCOBY
Wormwood Kombucha,Fermentation Tank,2160,1,1,1 Wormwood Tea,1 SCOBY
Yarrow Root Kombucha,Fermentation Tank,2160,1,1,1 Yarrow Root Tea,1 SCOBY
Cactus Kombucha,Fermentation Tank,2160,1,1,1 Cactus Tea,1 SCOBY
Fern Kombucha,Fermentation Tank,2160,1,1,1 Fern Tea,1 SCOBY
Spirulina Kombucha,Fermentation Tank,2160,1,1,1 Spirulina Tea,1 SCOBY
Yaupon Kombucha,Fermentation Tank,2160,1,1,1 Yaupon Tea,1 SCOBY
Mahogany Seed Kombucha,Fermentation Tank,2160,1,1,1 Mahogany Seed Tea,1 SCOBY
White Algae Kombucha,Fermentation Tank,2160,1,1,1 White Algae Tea,1 SCOBY
Amanita Kombucha,Fermentation Tank,4320,1,1,1 Amanita,1 SCOBY
Amanita Kombucha,Fermentation Tank,3600,1,1,1 Dried Amanita,1 SCOBY
Amanita Kombucha,Fermentation Tank,2880,1,1,1 Toadstool Powder,1 SCOBY
Anemushroom Kombucha,Fermentation Tank,4320,1,1,1 Anemushroom,1 SCOBY
Anemushroom Kombucha,Fermentation Tank,3600,1,1,1 Dried Anemushroom,1 SCOBY
Anemushroom Kombucha,Fermentation Tank,2880,1,1,1 Anemushroom Powder,1 SCOBY
Anemushroom Kombucha,Fermentation Tank,2160,1,1,1 Anemushroom Tea,1 SCOBY
Frenzy Kombucha,Fermentation Tank,4320,1,1,1 Berserker Mushroom,1 SCOBY
Frenzy Kombucha,Fermentation Tank,3600,1,1,1 Dried Berserker Mushroom,1 SCOBY
Frenzy Kombucha,Fermentation Tank,2880,1,1,1 Berserk Powder,1 SCOBY
Frenzy Kombucha,Fermentation Tank,2160,1,1,1 Frenzy Tea,1 SCOBY
Kalpasi Kombucha,Fermentation Tank,4320,1,1,1 Black Stone Flower,1 SCOBY
Kalpasi Kombucha,Fermentation Tank,3600,1,1,1 Dried Stone Flower,1 SCOBY
Kalpasi Kombucha,Fermentation Tank,2880,1,1,1 Kalpasi,1 SCOBY
Black Truffle Kombucha,Fermentation Tank,4320,1,1,1 Black Truffle,1 SCOBY
Black Truffle Kombucha,Fermentation Tank,3600,1,1,1 Dried Black Truffle,1 SCOBY
Black Truffle Kombucha,Fermentation Tank,2880,1,1,1 Black Truffle Zest,1 SCOBY
Blue Oyster Kombucha,Fermentation Tank,4320,1,1,1 Blue Oyster Mushroom,1 SCOBY
Blue Oyster Kombucha,Fermentation Tank,3600,1,1,1 Dried Blue Oyster Mushroom,1 SCOBY
Blue Oyster Kombucha,Fermentation Tank,2880,1,1,1 Blue Oyster Powder,1 SCOBY
Button Kombucha,Fermentation Tank,4320,1,1,1 Button Mushroom,1 SCOBY
Button Kombucha,Fermentation Tank,3600,1,1,1 Dried Button Mushroom,1 SCOBY
Button Kombucha,Fermentation Tank,2880,1,1,1 Button Mushroom Powder,1 SCOBY
Cactushroom Kombucha,Fermentation Tank,4320,1,1,1 Cactushroom,1 SCOBY
Cactushroom Kombucha,Fermentation Tank,3600,1,1,1 Dried Cactushroom,1 SCOBY
Cactushroom Kombucha,Fermentation Tank,2880,1,1,1 Cactushroom Powder,1 SCOBY
Cactushroom Kombucha,Fermentation Tank,2160,1,1,1 Cactushroom Tea,1 SCOBY
Cremini Kombucha,Fermentation Tank,4320,1,1,1 Cremini Mushroom,1 SCOBY
Cremini Kombucha,Fermentation Tank,3600,1,1,1 Dried Cremini Mushroom,1 SCOBY
Cremini Kombucha,Fermentation Tank,2880,1,1,1 Cremini Mushroom Powder,1 SCOBY
Dryad's Saddle Kombucha,Fermentation Tank,4320,1,1,1 Dryad's Saddle,1 SCOBY
Dryad's Saddle Kombucha,Fermentation Tank,3600,1,1,1 Dried Dryad Saddle,1 SCOBY
Dryad's Saddle Kombucha,Fermentation Tank,2880,1,1,1 Powdered Dryad Saddle,1 SCOBY
Ergot Kombucha,Fermentation Tank,4320,1,1,1 Ergot,1 SCOBY
Ergot Kombucha,Fermentation Tank,3600,1,1,1 Desiccated Ergot,1 SCOBY
Ergot Kombucha,Fermentation Tank,2880,1,1,1 Ergot Powder,1 SCOBY
Ergot Kombucha,Fermentation Tank,2160,1,1,1 Ergot Tea,1 SCOBY
Frost Cap Kombucha,Fermentation Tank,4320,1,1,1 Frost Cap,1 SCOBY
Frost Cap Kombucha,Fermentation Tank,3600,1,1,1 Dried Frost Cap,1 SCOBY
Frost Cap Kombucha,Fermentation Tank,2880,1,1,1 Frost Cap Powder,1 SCOBY
Frost Cap Kombucha,Fermentation Tank,2160,1,1,1 Frost Cap Tea,1 SCOBY
Gem Cap Kombucha,Fermentation Tank,4320,1,1,1 Gem Cap,1 SCOBY
Gem Cap Kombucha,Fermentation Tank,3600,1,1,1 Dried Gem Cap,1 SCOBY
Gem Cap Kombucha,Fermentation Tank,2880,1,1,1 Gem Cap Powder,1 SCOBY
Gem Cap Kombucha,Fermentation Tank,2160,1,1,1 Gem Cap Tea,1 SCOBY
Luminushroom Kombucha,Fermentation Tank,4320,1,1,1 Luminushroom,1 SCOBY
Luminushroom Kombucha,Fermentation Tank,3600,1,1,1 Dried Luminushroom,1 SCOBY
Luminushroom Kombucha,Fermentation Tank,2880,1,1,1 Glow Dust,1 SCOBY
Luminushroom Kombucha,Fermentation Tank,2160,1,1,1 Luminushroom Tea,1 SCOBY
Matsutake Kombucha,Fermentation Tank,4320,1,1,1 Matsutake Mushroom,1 SCOBY
Matsutake Kombucha,Fermentation Tank,3600,1,1,1 Dried Matsutake Mushroom,1 SCOBY
Matsutake Kombucha,Fermentation Tank,2880,1,1,1 Matsutake Powder,1 SCOBY
Mosshroom Kombucha,Fermentation Tank,4320,1,1,1 Mosshroom,1 SCOBY
Mosshroom Kombucha,Fermentation Tank,3600,1,1,1 Dried Mosshroom,1 SCOBY
Mosshroom Kombucha,Fermentation Tank,2880,1,1,1 Mosshroom Powder,1 SCOBY
Mosshroom Kombucha,Fermentation Tank,2160,1,1,1 Mosshroom Tea,1 SCOBY
Portobello Kombucha,Fermentation Tank,4320,1,1,1 Portobello Mushroom,1 SCOBY
Portobello Kombucha,Fermentation Tank,3600,1,1,1 Dried Portobello,1 SCOBY
Portobello Kombucha,Fermentation Tank,2880,1,1,1 Portobello Mushroom Powder,1 SCOBY
Psilocybin Kombucha,Fermentation Tank,4320,1,1,1 Psilocybin Mushroom,1 SCOBY
Psilocybin Kombucha,Fermentation Tank,3600,1,1,1 Dried Psilocybin Mushroom,1 SCOBY
Psilocybin Kombucha,Fermentation Tank,2880,1,1,1 Psilocybin Mushroom Powder,1 SCOBY
Psilocybin Kombucha,Fermentation Tank,2160,1,1,1 Psilocybin Tea,1 SCOBY
Puffball Kombucha,Fermentation Tank,4320,1,1,1 Puffball Mushroom,1 SCOBY
Puffball Kombucha,Fermentation Tank,3600,1,1,1 Dried Puffball Mushroom,1 SCOBY
Puffball Kombucha,Fermentation Tank,2880,1,1,1 Puffball Mushroom Powder,1 SCOBY
Radioactive Kombucha,Fermentation Tank,4320,1,1,1 Radioactive Mushroom,1 SCOBY
Radioactive Kombucha,Fermentation Tank,3600,1,1,1 Dried Radioactive Mushroom,1 SCOBY
Radioactive Kombucha,Fermentation Tank,2880,1,1,1 Radioactive Mushroom Powder,1 SCOBY
Radioactive Kombucha,Fermentation Tank,2160,1,1,1 Radioactive Tea,1 SCOBY
Red Antler Kombucha,Fermentation Tank,4320,1,1,1 Red Antler Reishi,1 SCOBY
Red Antler Kombucha,Fermentation Tank,3600,1,1,1 Dried Antler Reishi,1 SCOBY
Red Antler Kombucha,Fermentation Tank,2880,1,1,1 Powdered Ganoderma,1 SCOBY
