adult_item,alcohol_item,bean_item,berry_item,beverage_item,butter_item,category_sell_at_fish_shop,category_sell_at_pierres_and_marnies,cheese_item,chili_item,cloth_item,coffee_beans,coffee_item,color_aqua,color_black,color_blue,color_brown,color_copper,color_cyan,color_dark_blue,color_dark_brown,color_dark_cyan,color_dark_gray,color_dark_green,color_dark_orange,color_dark_pink,color_dark_purple,color_dark_red,color_dark_yellow,color_gold,color_gray,color_green,color_iridium,color_iron,color_jade,color_light_cyan,color_lime,color_orange,color_pale_violet_red,color_pink,color_poppyseed,color_prismatic,color_purple,color_red,color_salmon,color_sand,color_sea_green,color_white,color_yellow,color_yellow_green,crafting_pouch,crushed_item,edible_flower_item,edible_mushroom_item,elixir_item,extract_item,feather_item,flour_item,flower_petals,food_breakfast,forage item,forage_item,forage_item_beach,forage_item_desert,grain_item,ground_item,herb_item,honey_item,ice_cream,jelly_item,juice_item,kombucha_item,leafy_green_item,live_culture,malt_item,mayo_item,milk_item,mushroom_item,mythic_honey,nectar_item,nut_butter_item,nut_item,nut_milk_itemplant_milk_item,oil_item,paste_item,perfume_item,pickles_item,plant_milk_item,poison_honey,poisonous_item,puree_item,raffadax_ale_item,raffadax_artisan_object,raffadax_baking_component,raffadax_beach_forage,raffadax_beverage,raffadax_brandy,raffadax_cannabis_item,raffadax_cheese,raffadax_cider,raffadax_cloth_item,raffadax_coffee,raffadax_cooked_object,raffadax_cooking,raffadax_cooking_component,raffadax_crafted_object,raffadax_crops_object,raffadax_distillation,raffadax_divine_item,raffadax_divine_wine,raffadax_dried_item,raffadax_drink_mix,raffadax_enchanted_item,raffadax_extract,raffadax_flow_honey,raffadax_food_item,raffadax_fragrance,raffadax_fruittrees_object,raffadax_gem,raffadax_humidor,raffadax_juice_item,raffadax_kiln_item,raffadax_kombucha,raffadax_liquor,raffadax_mayonnaise,raffadax_mead,raffadax_mead_balsam,raffadax_mead_midus,raffadax_milk_item,raffadax_milled_item,raffadax_mythic_item,raffadax_nature_forage,raffadax_object,raffadax_oil_item,raffadax_pickles,raffadax_port_mead,raffadax_port_wine,raffadax_preserves,raffadax_production_component,raffadax_puree,raffadax_resources,raffadax_soda,raffadax_spar,raffadax_sparkling_mead,raffadax_sparkling_wine,raffadax_syrup,raffadax_tea,raffadax_tea_leaf,raffadax_trash,raffadax_treasure,raffadax_wine,root_vegetable_item,salad_dressing,sauce_item,seasoning_mix,soda_item,spice_item,sugar_item,syrup_item,tea_item,tea_leaf,vinegar_item,zest_item
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xoconostle Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vodka Sauce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Void Butter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yam Chips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Void Cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yam Juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Void Fabric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yam Vodka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Void Ice Cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yarrow Balsam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Void Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yarrow Bitters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Void Mushroom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yarrow Brandy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Void Mushroom Kombucha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yarrow Dust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Void Mushroom Tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yarrow Extract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Void Powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yarrow Flower Kombucha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Void Salad Dressing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yarrow Flower Liqueur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Void Tonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yarrow Flower Petals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Volpecula's Glamour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yarrow Flower Preserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Voodoo Dust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yarrow Flower Tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waldmeister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yarrow Flower Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waldmeister ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yarrow Honey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waldmeisterbowle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yarrow Honey Jelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waldmeister Brandy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yarrow Jam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waldmeister Drakas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yarrow Jelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waldmeister Flower Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yarrow Kombucha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waldmeister Honey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yarrow Leaf Jelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waldmeister Honey Jelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yarrow Liqueur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waldmeister Jam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yarrow Mead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waldmeister Jelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yarrow Nectar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waldmeister Kombucha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yarrow Port Mead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waldmeister Liqueur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yarrow Port Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waldmeister Mead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yarrow Powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waldmeister Nectar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yarrow Root Juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waldmeister Petals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yarrow Root Kombucha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waldmeister Port Mead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yarrow Root Tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waldmeister Port Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yarrow Tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waldmeister Powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yarrow Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waldmeister Preserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yateveo Brandy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waldmeister Puree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yateveo Compote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waldmeister Tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yateveo Drakas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waldmeister Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yateveo Honey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yateveo Honey Jelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walnut Butter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yateveo Jam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walnut Extract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yateveo Jelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walnut Flour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yateveo Juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walnut Kombucha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yateveo Mead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walnut Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yateveo Nectar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walnut Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yateveo Puree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walnut Tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yateveo Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Watermelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yaupon Gin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Watermelon Brandy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yaupon Kombucha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Watermelon Compote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yaupon Ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Watermelon Jam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yaupon Tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Watermelon Jelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Watermelon Juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow Bell Pepper Juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Watermelon Port Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow Carrot Juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Watermelon Puree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow Mustard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Watermelon Schnapps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow Tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Watermelon Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow Tea Kombucha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water of Bifrost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow Tea Leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water of Cocytus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water of Hubur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Za'atar Kombucha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water of Hvergelmir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Za'atar Seasoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water of Lethe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Za'atar Tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water of Mímir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zaminkand Brandy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water of Nimuë,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zaminkand Compote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water of Phlegethon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zaminkand Jam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water of Sanzu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zaminkand Jelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water of Styx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zaminkand Juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water of Urdarbrunnr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zaminkand Puree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water of Vaitarna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zaminkand Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waters of Acheron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zhug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waters of Gjöll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ziggy Stardust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waters of Uhlanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zirbenschnaps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wax Bean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
